date,category,description,amount
2026-06-02,Офис,Подарки сотрудникам,24290.49
2026-06-30,Логистика,Доставка Boxberry,5239.4
2026-05-30,IT,Домен — продление,21172.17
2026-06-21,Закупка товара,Закупка — новый поставщик,63116.41
2026-04-16,Офис,Вода и кофе,3821.93
2026-05-27,Аренда,Аренда шоурума,151878.28
2026-06-30,Офис,Новогодний корпоратив,8451.77
2026-02-13,Зарплаты,Оклад — бухгалтер,45347.95
2026-05-20,Закупка товара,Закупка — поставщик РФ,97421.67
2026-02-18,IT,Антивирус — лицензия,17776.44
2026-04-28,IT,Облачное хранилище,55341.15
2026-06-06,Зарплаты,Оклад — маркетолог,105074.56
2026-03-08,Маркетинг,Контент для соцсетей,28895.9
2026-03-09,Логистика,Транспортировка со склада,31762.76
2026-02-19,Закупка товара,Закупка — допартия,5503.88
2026-06-21,IT,Хостинг сайта,55563.91
2026-06-03,Аренда,Коммунальные услуги офис,22360.96
2026-06-10,Зарплаты,Оклад — менеджер,102195.9
2026-03-26,Маркетинг,Контент для соцсетей,102182.46
2026-04-05,Маркетинг,Блогер — интеграция,100266.08
2026-02-22,Зарплаты,Оклад — маркетолог,45139.5
2026-05-08,Зарплаты,Оклад — бухгалтер,102988.64
2026-04-01,Зарплаты,Оклад — дизайнер,25913.89
2026-04-01,Аренда,Парковка,106622.0
2026-01-16,Офис,Обеды для команды,6181.69
2026-05-08,IT,Облачное хранилище,12990.51
2026-04-01,Логистика,Экспресс-доставка,31046.56
2026-04-16,Аренда,Аренда шоурума,34620.28
2026-04-16,Зарплаты,Оклад — дизайнер,162654.11
2026-03-12,Офис,Новогодний корпоратив,6337.18
2026-06-06,Логистика,Доставка Boxberry,7206.4
2026-04-18,Аренда,Коммунальные услуги склад,215560.27
2026-01-11,Зарплаты,Больничный,97129.7
2026-04-20,Зарплаты,Больничный,41520.4
2026-03-29,Маркетинг,Email-рассылка,53112.12
2026-03-15,Офис,Ремонт офиса,15806.58
2026-02-27,Зарплаты,Оклад — маркетолог,178486.12
2026-03-07,Маркетинг,Email-рассылка,13005.23
2026-04-05,Маркетинг,Контент для соцсетей,105520.82
2026-03-17,Закупка товара,Закупка — допартия,228299.16
2026-02-09,IT,Техподдержка,49108.65
2026-05-29,Аренда,Аренда склада,190264.05
2026-01-15,Закупка товара,Закупка — поставщик Китай,309724.57
2026-01-13,IT,Телефония,71638.22
2026-06-02,Логистика,Курьерская служба,38061.59
2026-05-06,Логистика,Курьерская служба,29046.56
2026-03-25,Аренда,Коммунальные услуги офис,147754.53
2026-06-18,Зарплаты,Оклад — кладовщик,37795.04
2026-01-31,Зарплаты,Оклад — курьер,26435.07
2026-04-10,Маркетинг,Контент для соцсетей,80625.86
2026-03-22,Офис,Канцелярия,4894.19
2026-03-18,Закупка товара,Закупка — образцы,333245.32
2026-05-15,Закупка товара,Закупка — новый поставщик,268063.29
2026-02-28,IT,Разработка сайта,62283.54
2026-02-05,Офис,Мебель,19323.69
2026-05-26,IT,Хостинг сайта,10820.21
2026-05-19,Маркетинг,Яндекс.Директ,70069.95
2026-05-23,Офис,Ремонт офиса,10655.59
2026-06-13,Аренда,Аренда офиса,244480.03
2026-05-30,Офис,Мебель,18174.3
2026-04-27,Зарплаты,Оклад — дизайнер,105738.55
2026-04-29,Офис,Обеды для команды,11154.76
2026-01-19,Логистика,Возврат товара — доставка,35083.86
2026-05-01,Зарплаты,Оклад — менеджер,31209.1
2026-03-08,Офис,Канцелярия,21118.79
2026-05-21,Логистика,Экспресс-доставка,19402.48
2026-06-03,Маркетинг,Яндекс.Директ,37233.47
2026-05-07,IT,Разработка сайта,21503.72
2026-06-07,Закупка товара,Закупка — образцы,338497.32
2026-01-18,Логистика,Экспресс-доставка,10710.62
2026-04-24,Логистика,Транспортировка со склада,21940.82
2026-05-04,Закупка товара,Закупка — поставщик Китай,199490.07
2026-04-18,Маркетинг,SEO-продвижение,53692.89
2026-02-16,Аренда,Парковка,70506.03
2026-01-18,IT,CRM — подписка,6413.19
2026-05-29,Маркетинг,Реклама Telegram,122538.04
2026-05-23,Маркетинг,Email-рассылка,68428.86
2026-04-29,Зарплаты,Оклад — курьер,174024.27
2026-04-14,Зарплаты,Оклад — курьер,116205.6
2026-03-08,Аренда,Аренда шоурума,159002.85
2026-04-02,Закупка товара,Таможенные сборы,177793.35
2026-01-06,Маркетинг,Email-рассылка,122304.45
2026-02-27,Офис,Ремонт офиса,1145.8
2026-02-03,Логистика,Транспортировка со склада,10715.0
2026-01-17,Зарплаты,Оклад — кладовщик,63425.37
2026-04-18,IT,Антивирус — лицензия,7457.73
2026-05-08,Маркетинг,Email-рассылка,63961.63
2026-04-18,Зарплаты,Оклад — менеджер,178490.26
2026-02-03,IT,Антивирус — лицензия,52766.8
2026-01-27,Маркетинг,Контент для соцсетей,106556.21
2026-01-24,Офис,Мебель,11016.16
2026-04-26,Офис,Ремонт офиса,9320.21
2026-05-22,Маркетинг,Контент для соцсетей,5890.04
2026-05-30,Закупка товара,Закупка — сезонная коллекция,120009.9
2026-01-25,Офис,Уборка офиса,23186.64
2026-06-04,Аренда,Коммунальные услуги склад,104051.35
2026-02-13,Зарплаты,Оклад — бухгалтер,175137.34
2026-01-04,IT,Телефония,69233.74
2026-01-17,Закупка товара,Закупка — расходники упаковка,227689.65
2026-02-10,Закупка товара,Закупка — поставщик Китай,9017.48
2026-01-24,IT,Разработка сайта,7061.75
2026-01-16,Зарплаты,Оклад — бухгалтер,34517.71
2026-03-13,Офис,Обеды для команды,17646.63
2026-01-01,Зарплаты,Оклад — бухгалтер,126194.13
2026-02-01,Логистика,Доставка Почта России,44240.36
2026-06-01,Офис,Мебель,11866.2
2026-03-12,Аренда,Аренда офиса,159712.47
2026-02-23,Зарплаты,Оклад — бухгалтер,108382.06
2026-04-08,Закупка товара,Сертификация товара,232177.69
2026-04-04,Аренда,Коммунальные услуги склад,164385.84
2026-06-04,IT,Техподдержка,35792.85
2026-03-13,Маркетинг,Яндекс.Директ,40242.73
2026-01-28,Офис,Вода и кофе,4108.6
2026-02-19,Логистика,Доставка Почта России,21251.01
2026-02-03,Офис,Новогодний корпоратив,11463.27
2026-05-06,IT,CRM — подписка,15919.93
2026-05-14,Офис,Обеды для команды,16871.76
2026-02-17,Логистика,Доставка СДЭК,16257.7
2026-01-28,Логистика,Доставка Почта России,25868.29
2026-06-29,Закупка товара,Закупка — образцы,318546.46
2026-04-01,Закупка товара,Таможенные сборы,118350.37
2026-01-31,Аренда,Аренда шоурума,103245.59
2026-05-11,Маркетинг,Контент для соцсетей,106503.04
2026-04-03,Зарплаты,Оклад — менеджер,120409.82
2026-01-11,IT,Хостинг сайта,53560.46
2026-04-13,Аренда,Аренда шоурума,175231.4
2026-04-04,Маркетинг,Яндекс.Директ,66838.4
2026-02-02,Аренда,Аренда шоурума,157043.45
2026-02-11,Закупка товара,Закупка — поставщик РФ,187771.33
2026-03-10,Маркетинг,Промо-акция,40901.66
2026-04-14,IT,Техподдержка,44582.06
2026-05-24,Офис,Новогодний корпоратив,3739.84
2026-01-16,Логистика,Международная доставка,28976.53
2026-04-12,Логистика,Транспортировка со склада,13670.13
2026-03-21,Зарплаты,Оклад — бухгалтер,118574.96
2026-01-05,Закупка товара,Закупка — поставщик РФ,330989.41
2026-01-12,Закупка товара,Закупка — поставщик Китай,60307.92
2026-02-28,Закупка товара,Закупка — допартия,19474.68
2026-06-25,Маркетинг,SEO-продвижение,24269.95
2026-05-05,Офис,Ремонт офиса,3047.15
2026-01-11,Логистика,Доставка Почта России,37203.57
2026-06-04,Закупка товара,Сертификация товара,323591.63
2026-01-30,Закупка товара,Сертификация товара,104207.21
2026-04-20,Маркетинг,Яндекс.Директ,100572.64
2026-05-14,Закупка товара,Закупка — расходники упаковка,335160.76
2026-05-08,IT,Разработка сайта,46631.11
2026-04-19,Аренда,Аренда шоурума,123416.58
2026-01-25,Закупка товара,Закупка — образцы,48960.63
2026-02-03,Логистика,Доставка Boxberry,30080.02
2026-02-07,Аренда,Коммунальные услуги склад,227746.96
2026-01-07,Зарплаты,Оклад — бухгалтер,171195.89
2026-01-18,Офис,Канцелярия,9248.8
2026-01-02,Зарплаты,Оклад — кладовщик,46000.88
2026-02-08,Офис,Уборка офиса,11924.78
2026-02-18,Закупка товара,Закупка — поставщик РФ,33508.25
2026-01-10,Логистика,Экспресс-доставка,32231.07
2026-01-03,Зарплаты,Оклад — дизайнер,27676.34
2026-05-20,IT,Домен — продление,39904.0
2026-03-14,Офис,Вода и кофе,18073.07
2026-03-05,Логистика,Курьерская служба,7061.79
2026-02-23,Логистика,Возврат товара — доставка,29037.21
2026-03-11,Маркетинг,Дизайн баннеров,26169.71
2026-03-31,Маркетинг,Блогер — интеграция,136728.45
2026-01-11,Логистика,Доставка по Москве,41377.12
2026-01-16,Закупка товара,Закупка — поставщик Китай,93132.44
2026-03-29,Маркетинг,Яндекс.Директ,19346.66
2026-01-18,Маркетинг,Контент для соцсетей,108862.85
2026-05-28,Аренда,Коммунальные услуги офис,206089.63
2026-04-29,Закупка товара,Сертификация товара,266379.35
2026-04-08,Офис,Канцелярия,2790.76
2026-01-19,Маркетинг,Блогер — интеграция,69669.24
2026-05-31,Маркетинг,Блогер — интеграция,65421.53
2026-03-22,Маркетинг,Блогер — интеграция,40626.66
2026-05-14,Аренда,Аренда офиса,24658.49
2026-05-27,Логистика,Возврат товара — доставка,40230.49
2026-02-22,Офис,Обеды для команды,19119.77
2026-06-23,IT,Облачное хранилище,72195.54
2026-03-03,Аренда,Коммунальные услуги офис,128880.3
2026-03-17,Зарплаты,Больничный,90257.5
2026-04-19,Закупка товара,Закупка — сезонная коллекция,8749.31
2026-01-16,IT,1С — обслуживание,65268.86
2026-04-21,Аренда,Коммунальные услуги склад,196678.3
2026-05-23,Аренда,Аренда шоурума,192031.94
2026-04-15,Маркетинг,SEO-продвижение,41824.37
2026-02-22,IT,CRM — подписка,78201.33
2026-01-02,Зарплаты,Оклад — курьер,144228.99
2026-06-30,Закупка товара,Сертификация товара,77719.15
2026-06-30,Логистика,Экспресс-доставка,40598.8
2026-06-24,IT,Антивирус — лицензия,12674.28
2026-02-06,Маркетинг,Таргет ВКонтакте,107553.17
2026-01-28,Маркетинг,Email-рассылка,128293.65
2026-02-12,Закупка товара,Закупка — поставщик Китай,173915.12
2026-05-25,Аренда,Аренда шоурума,228196.14
2026-06-25,Закупка товара,Таможенные сборы,328285.27
2026-01-04,Логистика,Доставка по Москве,25182.65
2026-03-09,Логистика,Возврат товара — доставка,8692.7
2026-03-04,Закупка товара,Закупка — сезонная коллекция,324372.35
2026-05-21,Зарплаты,Оклад — бухгалтер,138457.69
2026-01-20,Зарплаты,Больничный,67044.98
2026-04-10,Зарплаты,Оклад — маркетолог,71324.9
2026-02-19,Логистика,Курьерская служба,13530.08
2026-04-22,Аренда,Коммунальные услуги склад,19816.12
2026-02-20,Аренда,Аренда офиса,64295.09
2026-04-17,Логистика,Доставка Почта России,12906.09
2026-05-17,IT,Разработка сайта,23489.47
2026-04-08,Офис,Уборка офиса,2650.98
2026-05-13,Аренда,Аренда офиса,18030.95
2026-01-22,Аренда,Коммунальные услуги офис,77679.36
2026-01-29,Зарплаты,Оклад — кладовщик,137010.25
2026-04-25,Логистика,Доставка Boxberry,34887.3
2026-05-24,IT,Телефония,72000.77
2026-03-23,Офис,Вода и кофе,14445.43
2026-03-08,Офис,Новогодний корпоратив,21606.54
2026-03-12,Аренда,Аренда офиса,60248.23
2026-06-21,Офис,Подарки сотрудникам,19508.32
2026-02-26,Офис,Мебель,23994.81
2026-06-18,Аренда,Аренда офиса,32070.48
2026-03-14,Офис,Вода и кофе,16358.13
2026-06-01,Маркетинг,Email-рассылка,96023.94
2026-05-14,Офис,Ремонт офиса,21117.68
2026-02-18,Логистика,Доставка Boxberry,10329.06
2026-03-03,Маркетинг,Блогер — интеграция,20033.56
2026-01-18,IT,Разработка сайта,33619.41
2026-01-10,Закупка товара,Закупка — допартия,16544.35
2026-06-28,IT,Техподдержка,21478.86
2026-01-25,IT,Облачное хранилище,17596.71
2026-04-14,Аренда,Коммунальные услуги склад,33569.52
2026-06-07,Логистика,Экспресс-доставка,27056.15
2026-04-24,Зарплаты,Оклад — бухгалтер,164295.25
2026-06-05,Офис,Уборка офиса,7804.36
2026-06-01,Офис,Обеды для команды,12236.02
2026-01-02,IT,Облачное хранилище,43936.59
2026-04-06,Логистика,Экспресс-доставка,14277.67
2026-03-09,Зарплаты,Оклад — менеджер,177722.87
2026-05-23,Зарплаты,Оклад — маркетолог,89050.36
2026-05-27,Логистика,Доставка СДЭК,4023.04
2026-02-12,IT,Хостинг сайта,66769.87
2026-06-10,Маркетинг,Реклама Telegram,42518.89
2026-06-26,Зарплаты,Премия квартальная,157147.41
2026-01-06,Закупка товара,Сертификация товара,179299.64
2026-06-16,Закупка товара,Сертификация товара,30503.78
2026-04-15,Логистика,Экспресс-доставка,35281.14
2026-02-08,Аренда,Парковка,171273.88
2026-04-13,Маркетинг,SEO-продвижение,144827.3
2026-02-11,Зарплаты,Оклад — бухгалтер,120887.69
2026-06-23,Аренда,Парковка,178634.11
2026-05-02,Закупка товара,Таможенные сборы,174153.67
2026-01-27,Аренда,Парковка,142233.51
2026-01-26,Маркетинг,Таргет ВКонтакте,73834.8
2026-05-06,Аренда,Коммунальные услуги офис,37965.53
2026-04-24,Логистика,Доставка СДЭК,42478.84
2026-05-03,Маркетинг,Email-рассылка,71976.34
2026-03-21,Закупка товара,Таможенные сборы,217628.79
2026-04-01,Маркетинг,Реклама Telegram,8319.52
2026-03-30,Маркетинг,Промо-акция,62064.65
2026-03-31,Маркетинг,SEO-продвижение,29347.71
2026-06-18,Закупка товара,Закупка — новый поставщик,162950.71
2026-06-26,Аренда,Аренда шоурума,243385.4
2026-02-26,Офис,Новогодний корпоратив,22492.18
2026-06-25,Аренда,Аренда склада,36248.91
2026-01-14,Аренда,Аренда склада,243158.8
2026-01-07,Зарплаты,Больничный,130517.14
2026-06-06,Маркетинг,Дизайн баннеров,129435.21
2026-04-22,Офис,Новогодний корпоратив,11483.97
2026-04-26,Маркетинг,Яндекс.Директ,140217.85
2026-03-09,Логистика,Доставка Почта России,7069.12
2026-06-27,Логистика,Доставка Почта России,10628.22
2026-01-20,Логистика,Доставка Почта России,20119.3
2026-04-07,Офис,Новогодний корпоратив,23528.53
2026-04-23,Аренда,Коммунальные услуги офис,35328.73
2026-02-28,Маркетинг,Контент для соцсетей,53749.45
2026-01-22,,Оплата без категории,34500.0
2026-02-28,IT,CRM — подписка,69371.82
2026-06-18,Логистика,Транспортировка со склада,5565.53
2026-03-11,Закупка товара,Закупка — образцы,243018.21
2026-01-18,IT,Техподдержка,3836.03
2026-02-23,Офис,Ремонт офиса,23467.19
2026-04-11,Офис,Обеды для команды,24762.7
2026-05-21,Логистика,Курьерская служба,1029.02
2026-04-08,Офис,Подарки сотрудникам,20220.39
2026-05-27,Закупка товара,Сертификация товара,68274.34
2026-02-08,IT,Разработка сайта,37791.5
2026-06-02,IT,Облачное хранилище,71288.38
2026-06-11,Офис,Новогодний корпоратив,1902.57
2026-02-14,Логистика,Доставка по Москве,42724.6
2026-04-11,Маркетинг,Реклама Telegram,52584.35
2026-05-02,Офис,Мебель,8377.41
2026-03-25,Логистика,Экспресс-доставка,39405.8
2026-03-02,Зарплаты,Больничный,129836.25
2026-02-05,IT,1С — обслуживание,64299.48
2026-03-13,Аренда,Аренда склада,216604.22
2026-02-02,Маркетинг,Таргет ВКонтакте,149737.41
2026-03-01,Аренда,Аренда офиса,183009.44
2026-01-25,IT,Антивирус — лицензия,16042.38
2026-02-04,Логистика,Доставка СДЭК,14188.63
2026-01-14,Зарплаты,Премия квартальная,69137.9
2026-02-25,Офис,Новогодний корпоратив,1576.5
2026-02-01,Маркетинг,Яндекс.Директ,25989.78
2026-03-21,Закупка товара,Закупка — допартия,11289.54
2026-01-04,Офис,Обеды для команды,2886.45
2026-01-28,Зарплаты,Больничный,104551.88
2026-04-25,Закупка товара,Таможенные сборы,62978.23
2026-04-19,Логистика,Доставка по Москве,18139.02
2026-05-28,Офис,Вода и кофе,11580.62
2026-02-28,Маркетинг,Контент для соцсетей,118373.01
2026-02-15,Офис,Мебель,12235.74
2026-03-17,Маркетинг,Промо-акция,135187.04
2026-06-27,Зарплаты,Больничный,70174.46
2026-05-17,Логистика,Международная доставка,22674.5
2026-01-05,Офис,Уборка офиса,12477.92
2026-05-21,Офис,Подарки сотрудникам,20432.37
2026-04-24,IT,Разработка сайта,53073.45
2026-04-26,Зарплаты,Больничный,123200.53
2026-02-17,Логистика,Международная доставка,8822.9
2026-02-20,Закупка товара,Закупка — новый поставщик,141845.78
2026-01-27,Логистика,Экспресс-доставка,36779.96
2026-04-21,Маркетинг,Реклама Telegram,95672.16
2026-02-11,Закупка товара,Сертификация товара,149437.99
2026-01-14,Логистика,Доставка СДЭК,1183.16
2026-04-11,Маркетинг,Реклама Telegram,81385.75
2026-03-27,IT,Хостинг сайта,47853.73
2026-04-19,Аренда,Аренда офиса,200816.69
2026-02-17,Аренда,Аренда офиса,124707.69
2026-05-02,Закупка товара,Таможенные сборы,66266.37
2026-06-18,Аренда,Парковка,84379.23
2026-02-04,Зарплаты,Оклад — бухгалтер,107687.5
2026-01-23,Офис,Мебель,1918.7
2026-02-07,Закупка товара,Закупка — поставщик Китай,85125.66
2026-01-06,IT,Облачное хранилище,76290.55
2026-05-18,IT,Техподдержка,34071.93
2026-06-16,Аренда,Коммунальные услуги склад,158464.11
2026-05-24,Аренда,Аренда офиса,111757.93
